language,extracted,enough information,target,ChatGPT,ChatGPT target,ChatGPT mistake,disrepancy,comment
Oneida," Transitive Pronoun Prefixes
Some verb stems require transitive pronoun prefixes. These prefixes include a pronoun
both for the doer of the verb action and for the receiver of the action. Consider the
following examples from the vocabulary sample.
 kunolúhkwaku- is the pronoun prefix in which I is the doer and you is
 the receiver
 I love you
 shukwaya÷tísu shukwa- is the prefix in which he is the doer and us is the
 receiver
 he has created us = the creator
 shehlo=lí she- is the prefix in which you is the doer and her or them
 is the receiver
 (you) tell her or (you) tell them (In English commands the
 subject you is understood, but in Oneida it is always
 expressed in the prefix.)
 hetshlo=líhets- is the prefix in which you is the doer and him is the
 receiver
 (you) tell him!
 <skya÷takénha÷ k< -sk- is the pronoun prefix in which you is the doer and me is
 the receiver. (The <- at the beginning is a prepronominal
 prefix that marks future tense.)
 will you help me?
A summary of some transitive pronoun prefixesso far:
 sk- you to me ku- I to you
 she-you to her or themkhe- I to her or them
 hets- you to himi-I to him
 shukwa- he to us
These prefixes can be attached to various compatible stems to create words such as the
following:
 sknolúhkwayou love me
 shenolúhkwa you love her / you love them
 hetsnolúhkwayou love him
 shukwanolúhkwahe loves us
 20
 khenolúhkwa I love her / I love them
 inolúhkwa I love him
Most terms for relatives in Oneida are transitive verbs. So, from the vocabulary sample:
 iy§hai- is the prefix (see above) and the verb stem means be a parent to
iy§ha means I am a parent to him = my son
 khey§hakhe- is the prefix and the verb stem means be a parent to
khey§ha means I am a parent to her = my daughter or
 I am a parent to them = my children
 aksóthaak- is the prefix in which she is the doer and me is the receiver
aksótha means she is grandparent to me = my grandmother
 laksótha lak- is the prefix in which he is the the doer and me is the
receiver
laksótha means he is grandparent to me = my grandfather
Some other examples of transitive pronoun prefixes:
 <hetsya÷takénha÷ k< will you help him?
 <shukwaya÷takénha÷ k< will he help us?
 skya÷tísu you have made me
 shey§ha your children or your daughter
 shukway§haour father
Subjective and objective pronoun prefixes
When a verb stem does not require a transitive prefix (typically when there is not both a
doer and a receiver), then the stem requires either the subjective set of pronoun prefixes
or the objective set. The difference between them is a matter of selection more than
meaning and it is not predictable from knowing the meaning of the stem. Nothing
obvious you know about English will help you predict whether an Oneida verb stem will
take subjective or objective prefixes. From the vocabulary sample the verb know and the
verb be happy both require objective prefixes. Here is a collection of several objective
prefixes:
 Objective pronoun prefixes:
 wak- I
 sa-you
 lo-he
 yako-she, or someone
21
And here are some examples of how they attach to verb stems:
 wakanúhte I know
 sanúhte you know
 lonúhte he knows
 yakonúhte she knows
 wakatunháhehleI am happy
 satunháhehleyou are happy
 lotunháhehlehe is happy
 yakotunháhehleshe is happy
The verb like requires subjective prefixes such as the following:
Subjective pronoun prefixes:
 k- I
 s- you
 la-he
 ye-she, or someone
 knú=wehse I like it
 snú=wehse you like it
 lanú=wehsehe likes it
 yenú=wehseshe likes it or someone likes it
The verb like can also be used with transitive prefixes as in the following:
 kun&=wehseI like you
 skn&=wehseyou like me
 in&=wehse I like him
 shukwan&=wehsehe likes us
 22
SIMPLE SENTENCES
Statements
A verb can function as a complete sentence or additional identifications of the pronoun
prefixes can be added:
 lotunháhehle he is happy
 Amos lotunh@hehleAmos is happy
 Wali yakotunháhehleMary is happy
 hetshlo=lí Amostell Amos
 shehlo=lí Wali tell Mary
 iy§ha lotunháhehle my son is happy
 khey§ha yakotunháhehle my daughter is happy
Notice that the pronoun prefixes must always be used even when a name is used as well.
Notice also that the pronoun prefix must agree with the subject in gender (as well as
number and person). The order of words in Oneida expresses emphasis more than
grammatical relations, so the following are also possible:
 lotunháhele÷ Amos Amos is happy
 yakotunháhele÷ Wali Mary is happy
 lotunháhele÷ iy§hamy son is happy
 yakotunháhele÷ khey§hamy daughter is happy
It is also possible to express the same meaning with the particle né=n between the verb
and the noun as in the following:
 lotunháhele÷ né=n AmosAmos is happy
 yakotunháhele÷ né=n WaliMary is happy
 lotunháhele÷ né=n iy§ha my son is happy
 yakotunháhele÷ né=n khey§ha my daughter is happy
Notice how the arrangement of words in a sentence affects the choice of whispered or
non-whispered versions of a word.
Yes-no Questions
There is an easy way to turn any statement into the corresponding yes-no question. Add
the particle k<. This is simply a grammatical word that signals a question. It is always
positioned as the second word in the question.
 lonúhtehe knows
 lonúhte k< does he know?
 lonúhte Amos Amos knows
 lonúhte k< Amosdoes Amos know?
 sanúhteyou know
 sanúhte k< do you know?
 lotunháhele÷ iy§ha my son's happy
 lotunháhele÷ k< iy§hais my son happy?
 sknolúhkwa you love me
 sknolúkhwa÷ k< do you love me?
",1,No dominant order,"Based on the paragraph you provided, there is not enough information to determine the dominant word order of the language described in the grammar. The paragraph focuses mainly on the use of pronoun prefixes and transitive verbs rather than discussing the general syntax of the language.",Not enough information,1,0,упоминание порядка слов
Uzbek," E. How often do you see a doctor? Every month? Every year? Every 3 years?
2. Tell the class what you do in order to keep a healthy weight? Do you exercise? What
types of exercise do you like? How often and for how long do you exercise? Do you have a
special diet? What kind? What do you eat and not eat? Give an example of your menu.
What do you order when you eat out? How does it affect your diet the next day?
3. Work with a partner or in a small group. Describe the picture below.
",0,SOV,"Based on the given paragraph, it is not possible to determine the dominant word order of the language, as the paragraph does not present any sentence structure examples that indicate a specific dominant word order. Therefore, the answer would be ""Not enough information."".",Not enough information,0,0,order - заказ
Uzbek,"182
 5. Listen to and read along with some of the new words you should have underlined
in Exercise 4.
grade baho / sinf*
subject mavzu
favoriteyoqqan/yaxshi ko’rilgan/sevimli
mathmatematika
biology biologiya
music musiqa
literatureadabiyot
history tarix
college institut
likeyoq-/yaxshi ko’r-
listen to eshit-
*baho – grade as a mark, and sinf – as 6th grade, 7th grade etc. sinf is also a class
In Uzbek preferences are expressed through the verb yoq- – to like – and compound verb
yaxshi ko’r- with yaxshi being Uzbek for good, well, great, fabulous and ko’r- literally to see;
to feel (see) good/well towards someone/something, look favorably, be disposed well at
someone/something. Both yoq- and yaxshi ko’r- are used to speak about a disposition
towards people and activities. When using yoq- don’t forget to add ga – a directional
ending – to the subject: Dilbarga kitob o’qish yoqadi. Dilbar+ga +object+activity verb +attitude
verb. Sometimes the adjective sevimli (literally loved) is used with the adjective eng (most)
in the usual Uzbek agglutination of words in the phrase – eng sevimli -most loved being
direct substitutes for the English adjectives favorite, preferred, much loved, or desired. The
following examples are typical agglutinative patterns of subject +object +activity
verb+attitude verb.
Examples:
Timur likes to study math.",1,SOV,"Based on the given paragraph, there is not enough information to determine the dominant word order of the language described in the grammar.",Not enough information,1,0,
Uzbek," 98
Lesson 8
 Eating Out
 Restoranda
This lesson will introduce you to:
- Eating out in a restaurant in Uzbekistan
- Various menu items
- How to order menu items
- Different table service items.
",0,SOV,"Based on the given paragraph, there is not enough information to determine the dominant word order of the language described in the grammar. The paragraph discusses the topic of eating out in a restaurant in Uzbekistan and does not provide any information about the word order used in the language.",Not enough information,0,0,order - заказ
Uzbek," 20
9. Role-play the dialogues above using the map of Uzbekistan.
In English a yes/no question is formed by changing the word order of the sentence. In Uzbek this is not the case;
word order remains the same. Instead, the suffix +mi is attached to the very end of the final word of the
sentence. The one exception is with the second-person (plural or singular, formal or informal) where the +mi
precedes the pronominal suffix (+san, +siz, or +sizlar).* So:
Am I Uzbek? = Men o’zbekmanmi?",0,SOV,"Based on the information provided, it is not enough to determine the dominant word order of the language described in the grammar. The paragraph only discusses the formation of yes/no questions in Uzbek and does not provide enough information on the dominant word order in the language.",Not enough information,0,0,упоминание порядка слов
Uzbek,"O’qituvchi
To pluralize any noun in Uzbek you simply add the plural suffix +lar to it. It is generally attached directly to the
noun it is pluralizing. Possessive suffixes and prepositional suffixes (cases) follow it. So:
Name = Ism
Names= Ismlar
My Names = Ismlarim
In My Names=Ismlarimda = Ism+lar+im+da = Name+s+my+in
Agglutination (word combination) in Uzbek almost always works this way (noun+plural+possessive+case). Try
to keep to this order as much as possible.
",0,SOV,"Based on the given paragraph, it is not possible to determine the dominant word order of the Uzbek language. Therefore, the answer is ""Not enough information"".",Not enough information,0,0,порядок морфем
Guaraní," Nota. Dexo aqui el cr atado que fe debiera fe^ui c de las
 Pofpofícioaes, Adverbiosde lugar,yde Tiempo,lasIa-
 ecriecciones.y demás panículas déla fengua,las pondré
 mejor codas en el Tratado de las partículas, yper orden
 Alfabético para maior facilidad de hallar la* luego.
",0,SVO,"Based on the given paragraph, it is not possible to determine the dominant word order of the language. Therefore, the answer is ""Not enough information."".",Not enough information,0,0,алфавитный порядок
Guaraní,"El AÑOdctlSwor MDCCXXIV
ÁPROB A T I O ORDÍNÁRII.
 hios el Maeftro D. Er. Pedro Faxardo
 por la gracia de Dios, y de la Santa Se*
de Apoíloilca Qbifpode Buenos Ayres
del confeso de fu Mageíiad &c.
Por el prefente, ypor lo qye ¿nos cocea damos lí-
 ceada paraqitc fe imprimar el libro intitulado:
 fatct de,ía lengua Guaraní por el P. Antonio Ruiz d |
 Moatoya de ia Compañía de IÉSVS cen los Éfcoijjw
 Anotaciones, y Apcndizes de otro :Rclígiofo de la míC*
 rea Gompa§¿ Se i u d e alfin^a Trabado de las Paní-
culas mis principales de la lengua , Atento de xuiefrrq
jnjndadQ'há j5do vifto y examinado por ferionas ínec-
li gentes en la lcngui Güira al, y no contener cofai coa*
 iranücílrá Smca Fec catHoiica, y buenas columbref.
 Dada en Buenosi-Ay«i a diez ynuebe de Abúl de mil
 íctecientos, y veinte y do?.
",0,SVO,Not enough information. This paragraph only contains a limited amount of text and does not provide enough context to determine the dominant word order of the language.,Not enough information,0,0,
Guaraní,"Defle tiempo fe ufa en las oraciones coadicioniles.
 E. G- fiyo fupiera la lengua de los Indios, me valie-
ra della (Ayquaaramo Abañci> aiporuamoraé/. Aíquaí
ramo amo Abañec, aiporuraé, /.-Aiporuamo Abanee,
aiquaa' ramo ramo} poniendo fiemprc la part. (ramo)
donde eítubiere la condición: fi.
",0,SVO,"Based on the given paragraph, it is not possible to determine the dominant word order of the described language. Therefore, the answer is ""Not enough information"".",Not enough information,0,0,
Guaraní,"Amicc Leétor
 r
Sí todas las lenguas piden efpecíal eftudio, paca fa-
 cer bien el uio de Xas Partículas, mucho roas lopbf
de efta, que toda fc compone de ellas. De a Igunas fe há
 bafflado en el Arte,como fon las que hazen compoficion
con íoi ver bos, y porque lasroasde ellas tienen otras lig-
 nificaciones, y oytv uíú, belveré á ponerlas aqui, y codas
por orden / Ifatetieo pata hallar las conroasfacilidad,
 pero ne setum. agsro, no bolvere a decir aqui lo que te
 dixo allá, fi no lelamente lo que fe dexó, peto citare el
lugar para bufeirlas.cn el Arte. Algunas ay, que yá nd-*
 la* ufan mas, ó uofon univerfalmcnte ufadas.eteísas pon*
dre algunas con efta advertencia, y cenfura>paraaueao
 las vfci,antc de averiguar, fien el Pueblo, cadoauc
eftuTÍercs, fas ufan, © noé
Advierto también que pira efe ufar el repetir rnuchsg
 vezes (a mifma palabra en los exemplos que fe han de £ 0 -
 nej¡pondré folamcntc una N« tnaíufcula, que defeca a-
 queía partieuís que fe pufo al principio» Sea por f&cemp*
. í Abfharey) (cofa parecida) (quarahí N.} cofa parecí*
da alfoU caque squclla N. cftá cnltgar de la partícula
(abiharey) que cftá al principio. & fie de esetens*
Vea(c un Apcndi^quefe r^ndráaífin de e f e u ata-
da, que es una ofhcina de muchos Adverbio^ Vale.
 ¿i
A*e^Ciít^tcioa fcogtr) (Ahecjwjcoíoleclfcf,
¿mítolc ío mefmo que: (Ahccoaá, Ahecoyogua,
 Ahserjpihí|(troncar, ó torcer) (Ahumbía,) le des
lomé. lÁJbí ra racanga) torcer gajos de arbolea
Avtambién puede decir .(cabera fruta de arboles,y
calabazas, yutees redoddas) Irem puede fer ver-
bo, y decir, (caer, nacer, embarearfej Vcife el
 Théforo.
Aipronombre demoíliaiivo /. (abac} (cito eftis) (a
cherobaé) cftas mis cofas, ufado idvcrbialmente
(?áqui) (apej aquiv(achcr€cohapc) aquiendoade
 Ó eftoy.
n
* nárigat/»íng (fornbratfofpecha, reprefenticícnj
(quarahiaroej á fafombea del foL (cíe írrtecie-
Cüra cura te^} me apodó en mí auíénora; (ybitu
•ároe} al abrigo del viento. (Arooa tataeadi^bítu
•g""ÍJ defiendo ia vela del vié4*©y poniéndole *a-
tipirai ó .poniendo-"" ia airas de alguna cofa. (A-
ñembá hcec)(efccndimc tras eh ( tncm^achugui}
rczclornc de él» como de enemigo*' (ya ya ehebe)'
fe¡me'reprefenta, pareceme de verle. Corocftfn-
dofe un Indio de dos peccaios ciertos, nofeacor-
 daba bien del icrze ro, y to explicó de efsa ma-1,
ncra: {ym^nVooapíhaba y i y ^ chafe ej. Para fofpc^j
ehar ^ imaginar , penfar dicen: (Aymofr)""conli
•teíaúvi y/(Aymói cherapichara /. Ambaema*
eherapichata rehojfofpcchcdemi próximo, (chfi*
rcmv
 rcmirnoa )4o que yp imagine, ó fafpeche, t am-
bien lo ufi.i corno verbo: (Chercmirooa cherapi-
chara rehe) luvcfo/pecha de mji próxima, (che-
""^^g^be^cayque) entre ""fin que lo penfafscg.
 « (Aymoangí) lo conjeturo.
 A» fe.jfrg-í también lignítica (afma) (che ih©nderebe}
 »af¿roi alm;3 trafti, füfpiroriorti. E.aad. (che an-
góg ber i ai ahé^crahapo) parece que me ha qui-
tado cí almi por averío íle/adO.*iodice por gran*
difsim a pena ,y dolor pero (caeangaó)dice: mur-
muró de mu lo deroa*.Vcsfc cnci Thcf.
 X» MfObie,p íuperficic) (yiramo) porejcimir cfecl
(cheáramo /. cheári) fobre mi (ÁmhoyOa yoáj
,P o n {vuno fobre otro, amontono.",0,SVO,Not enough information. The paragraph does not provide a clear indication of the dominant word order in the language described in the grammar.,Not enough information,0,0,
Guaraní,"Apendix.
 e ha de notar muy bien para no errar que el (haba}
 S incluyendo el reí"".:, qui,quse, quod, incluye también
 el uitri cafo del verbo, por lo qual 16 que era obliquo,
 fe há de poner en Recto como fubfbnrivado coa el verbo,
 explietreme con ellos exempíes. Dicen (Pcru quice che
 ymcehágLcra,. oKiano) y no (Perú upe} Pedro a quien yo
 di cuchillo, rruric- porque el relativo, (á quíen)que e-
 üá exprefso Cii e¡ ro niñee, cíla ?¿icIuydo en efle (che
 ymechagucra) de U lengua del Indio, y lo mefmo es en
 eftá lengua (cae ymechaguera) qte (cuidedi) de la len-
 gua litma. i^or la mi i mi razón fe há de decir (JeluChri -
 uo vur^póré ui:e teco marángaru¿he pemboehaba) la
 Do'-'trina r{uc yo us enfeño esla queprCdicó IcfuChrifío.
 dj;e (fecoutariugatr} y no (fecomirangatu rehe) por-
 que
que el (rehci que es nota de AbUc. que por uirra .caló
pide el verbo {Amboé,| eua íneluydo en el (Haba) ylo
mifmc es (che pemboehaba) que (de que errrjio vos)
de la lengua, latina.- Lomefmo íc há de oVervar con los
Neutros, fi. C. ede á. quien pregunté, (Cobae che ño-
ra nduhagüe) y no (cobae upe) Efto quspreguace (Co-
bae cheporanduhagüe) yno: (Cobae rehe) de los antece-
 dentes, óceafiguienresfehádc colegir el fen«idode é%i
 oración, porque fi díxera (Cobae cheporanduhague o-
 mombcu) diera el fentido de la primera, J*fie, áqfica
lo pregunte lo há dicho, y fi dijera (cobie cheporandrr
 bagre,; ayquaipoca) diera el fegundo fencidb. Efto, que
 pregunte, quiero faber.
",0,SVO,"Based on the provided paragraph, it is not clear which dominant word order the language described in the grammar has. Therefore, the answer is ""Not enough information"".",Not enough information,0,0,
Guaraní,"Si el complemento circunstancial (Obl) no es pronominal, entonces su anteposición al
verbo es también remática:
guarani-pa-nte kotedía ña-mba’apo haje
guarani-todo-sólo hoy 1Pl.Inc-trabajar Part
Obl V
R---------------------------T-------------------
„en guaraní nomás trabajamos hoy ¿verdad?‟
7.4.2. La disposición del orden de los constituyentes en guaraní criollo constituye otra
innovación motivada por contacto con el español, lengua que posee también el tipo SVO
como orden neutral de palabras74. En las lenguas tupí-guaraníes, el orden tradicional es
OV(S), con el objeto antecediendo al verbo y el sujeto de colocación relativamente libre
(Dietrich 2009: 2 y ss). Tal disposición de los constituyentes es fija y responde a un
condicionamiento gramatical, pues el objeto, que no lleva marca formal distintiva, y que
puede confundirse con el sujeto en la 3 persona, se identifica como tal gracias a su posición
con respecto al verbo 75. En guaraní criollo, el paso de OV a VO fue posible junto con el
acompañamiento de otros cambios estructurales, como es el uso de –pe „Dativo/Locativo‟
para marcar el complemento de objeto, la incorporación de artículos determinados el, lo, e
indeterminados un ~ uno, etc. para indicar el estatus topical de la información, etc. (Cf. Cerno
2010a: 32, Dietrich 2009: 9).
74
 Se trata de un cambio temprano, ya que el mismo orden SVO se observa hoy en lenguas sólo hace pocas
décadas expuestas a un contacto intensivo con el español o el portugués, como son el mbyá, el kaiwá, y el
guaraní chaqueño (Dooley 2006a: 135, Dietrich 2009: 8, González 2005: 290, Faria Cardozo 2008: 144-145).
Dietrich: “[…] en las lenguas que tenían pocos contactos externos en el pasado, este cambio del orden de
palabras [es decir de SOV a SVO] se observa ahora: es un cambio inicial y asimétrico, en el sentido de que es
evidente en la generación joven, pero todavía no se nota en la de los hablantes ancianos” (2009: 1-2).
75
Por ejemplo en anambé -lengua tupí-guaraní hablada en el estado de Pará (Brasil)-: mo jawãti u-„u serpiente
perro 3-morer „la serpiente mordió al perro‟, donde la interpretación *„el perro mordió a la serpiente‟ es errónea
(ver Dietrich 2009: 2). En guaraní jesuítico, dice Montoya “lo ordinario es poner primero la persona agente, y
luego la paciente, y luego el verbo, ut: Peru so‟o o‟u („Pedro comió carne‟)”, (Arte: 34).
",1,SVO,"The language described in the grammar has a dominant word order of ""OV(S)"", which means the object precedes the verb and the subject has relatively free placement. However, due to contact with Spanish, the language has undergone changes and adopted an SVO word order in some cases.",SVO,0,0,
Guaraní,"Upéa el hé-a „ese (es) el rico‟ „ese es de los ricos‟
Pron.Dem Art rico-NOr
che nd-a-kai‟ú-i-va„yo soy de los que no toman mate‟ „yo no tomo mate‟
1Pron Neg-1-tomar.mate-Neg-NOr
7.4 Orden de los constituyentes
7.4.1. Analizamos en este parágrafo el orden de los constituyentes en la oración transitiva. En
nuestra variedad se observa, en la oración declarativa independiente, un orden básico de
palabras de tipo VO, es decir con el objeto sucediendo al verbo, siendo el sujeto de colocación
relativamente independiente. Se trata del orden neutro, no marcado. La situación es paralela al
G.P. (cf. Dietrich 2009: 6; Tonhauser et al 2010: § 4.1). En el ejemplo (35) observamos SVO;
en (36), el esquema más frecuente VO:
(35)El viého ndaje o-japo h-óga amo-ite
Art viejo Rep 3-hacer 3MP-casa Adv.Loc-Int
S VO
„el viejo dicen que hizo una casa allá lejos‟
(36)a-korta-pa el so‟o-so‟o omia
1-cortar-todo Art carne-Rdp Dem.Pl
V O
„corté toda la carne‟
 124
De una muestra de 105 oraciones con verbo transitivo o ditransitivo, VO resulta la expresión
más frecuente, con 65 casos72. La segunda posición la ocupa el orden SVO, con 12 casos. La
tercera posición corresponde a VOS, con 5 realizaciones. La posición del objeto antecediendo
al verbo resulta la menos frecuente, con 4 casos. De aquí interpretamos que la anteposición
del objeto al verbo, es decir OV, constituye una opción marcada:
(37) opéi ñandu ndo-juhu ro-ina
 Adv.Tem ñandu 1Pl.Ex-encontrar 1Pl.Ex-Prog
 OV
 „después ñandú encontramos‟
Pese a la alta frecuencia con la que ocurre VO, en guaraní moderno está visto que el
orden de palabras no cumple una función gramatical, es decir no responde a la definición de
los roles semánticos de los argumentos. Como se ha visto, en guaraní la ambigüedad en los
papeles semánticos sólo se presenta en la 3 persona, pero objeto y sujeto son desambiguados
por referencia al conocimiento del mundo que poseen los hablantes, y no mediante elementos
gramaticales73. En esta lengua, la diferencia entre un orden VO y OV corresponde a una
función pragmática, relacionada con el grado de relevancia de la información. La relevancia
es de grado creciente, con el sujeto de naturaleza temática (tema = información conocida), el
verbo de carácter más remático y el objeto como rema (= información nueva). Esta estructra
de tipo Tema – Rema es lo que vemos en los ejemplos (35) y (36).
",1,SVO,"The dominant word order in the language described in the grammar is ""VO"", which means the object comes after the verb.",SVO,0,0,
Guaraní," Esto también ocurre si una 3 persona actúa sobre otra 3 persona: oi-nupã Juán-pe
 “pegó a Juan”. Cuando la 1 persona actúa sobre la 2 persona, otro paradigma es
 252
 requerido,elde las marcas “portmanteau”,cuya referencia es doble:
 „1Agente/2Paciente‟: ro-nupã „te pego‟, po-nupã „os pego‟. Cuando la jerarquía de
 persona se invierte, es decir, si la 3 persona actúa sobre la 2 o la 1 persona, o si la 2
 persona actúa sobre la 1, la correferencia es a la 1 o 2 persona como referentes de una
 oración existencial, con lo que las marcas del paradigma inactivo (paradigma che-) son
 requeridas: che-nupã „(hay) golpe con respecto a mí‟ / “me golpean”, nde-r-echa
 2MP-Rel-vista „(hay) (su) vista con respecto a ti‟ / “te ven”. Con esto, la construcción
 pasa de verbal, transitiva, a nominal, existencial. Hemos presentado argumentos para
 sostener que las marcas de la serie che- no deben ser consideradas pronombres de
 objeto (ver § 6.4.4, § 8.1.3 y § 7.3.4), porque la oración no es transitiva: no hay, en
 efecto, un verbo en la oración, ni hay un elemento que pueda identificarse claramente
 como un Agente. Otros participantes de la escena se eliden, pues se consideran
 información conocida. Cuando aparecen en la construcción, se interpretan como
 determinantes de una frase nominal: ha‟e (kuéra) che-nupã „hay su/s golpe/s con
 respecto a mí‟. La glosa “él/ellos me golpea/n” para esta oración constituye, desde
 nuestra perspectiva, una adaptación de la sintaxis guaraní a la perspectiva de las
 lenguas indoeuropeas, y es por tanto inexacta.
7. Otros constituyentes oracionales pueden ser atributos y argumentos oblicuos. Los
 primeros se forman por nominalización, mediante el sufijo –va que transforma un
 predicado nominal o verbal en dependiente de un núcleo nominal: o-ú-va „el que
 vino‟, i-tujá-va „el que es viejo‟ (ver § 6.4, § 10.1.8). Los argumentos oblicuos se
 indican con los sufijos locativos. El sistema de sufijos locativos presenta isomorfismo
 regular con respecto al G.P., en el plano semántico, con un morfema –pe definido
 como „ámbito/lugar‟, por oposición a –Wi „origen‟ y -koto „dirección‟, -re „contacto
 puntual‟, -ipi „contacto difuso‟, -rehe „sociativo1‟ y –ndi „sociativo2‟ (§ 14). En el
 plano de la expresión hemos señalado en nuestro dialecto la variación con respecto al
 G.P., registrando –ipi, -koto, -Wi, -ãri „sobre‟ y –pe como equivalentes a -rupi, -kótyo,
 -gui, -ári y pe ~ me en G.P. (§ 14, § 5.8., § 5.9, § 5.14.6). Este último sufijo,
 Locativo/Dativo –pe con alomorfo -me para ambiente nasal, presenta en G.C. sólo un
 alomorfo oral para todos los contextos: guarani-pe (por G.P. guarani-me) (§ 5.14.2)
8. Entre los mecanismos de formación de palabras, observamos el funcionamiento de los
 procedimientos de modificación (diminutivos, aumentativos, etc.), notando casos de
 253
 sustitución de materia léxica tradicional por significantes prestados. Los diminutivos –
 ‟i y –mi se reemplazan por el préstamo –síto (esp. -cito) (§ 15.1.1). La negación léxica
 -y es sustituida por la preposición prestada sin: t-uguy-‟y 3Abs-sangre-Neg.Lex, se
 expresa sin tuguy „sin sangre‟ (§ 12.1.5). Las expresiones prestadas dema (esp. de
 mas) y de‟éra (¿? esp. de veras) funcionan como intensificadores, compitiendo con los
 tradicionales -ite e –iterei. Las partículas atenuadoras del imperativo (na, mi) son
 sustituidas en este dialecto por medios contextuales (prosódicos) y sólo registramos el
 intensificador de la orden ke (§ 9.3.2 y § 15.1.1). En esta sección hemos presentado
 argumentos para describir los procesos de incorporación de objeto como un
 mecanismo de formación de palabras (modificación), y no como un mecanismo de
 reducción de valencia (§ 15.1.6). Entre los nominalizadores, se nota la escasa
 productividad -ha1 „nomina agentis‟, optándose por el uso del nominalizador oracional
 –va (§ 15.3.3).
9. En el plano de la combinación de cláusulas, observamos el uso de conjunciones para
 lograr la coordinación (aditiva ha, adversativa péro, disyuntiva sino ~ máke). La
 coordinación asindética, recurso tradicional, es posible con ciertas clases de verbos (de
 percepción, “modales”, verba dicendi) (§ 13.1 y § 13.2). Otra forma de obtener la
 combinación de cláusulas es la nominalización, con un nombre deverbalizado que
 puede ocupar la función de argumento nuclear (cuando nominalizado con –ha1 y sus
 derivados ha-guã „Nom+Pros‟ y ha-gue „Nom+Perf‟) o de atributo (cuando
 nominalizado con –va) (§ 13.3.1 - § 13.3.3). Por este medio se obtiene lo que es
 equivalente a las completivas de sujeto/objeto del español, y a las cláusulas relativas,
 respectivamente. Las completivas circunstanciales se logran por sufijación de
 morfemas locativos al nominalizador -ha2: p.e. -há-pe „Nom+Loc‟. Las subordinadas
 adverbiales se logran mediante sufijos con función gerundiva, dividiéndose el dominio
 semántico en „circunstancias generales‟, „temporalidad‟, „causales‟ y „adversativas‟ (§
 13.3.4). Las de „circunstancias generales‟, si bien pueden interpretarse como las
 “condicionales” del español, abarcan un dominio semántico diferente, relativo a una
 condición o circunstancia. Las adverbiales „causales‟, por su parte, efectuadas
 mediante el hispanismo póke (esp. porque), constituyen una innovación reciente,
 motivada por contacto. Hemos señalado también que el plano de la combinación de
 cláusulas constituye uno de los niveles que más acusa el impacto del contacto con el
 español, con la sustitución de algunas formas tradicionales por conjunciones prestadas
254
(como -mboyve y –rire por ãnte y despue), la incorporación de funciones y formas
directamente importadas del español, como póke, péro, sino ~ máke, y la creación de
oposiciones calcadas del español, representadas por formas nuevas o híbridas, como –
tere y -ha‟óra (§ 13.3.1.2 y § 13.3.4.1).
10. En el plano del orden de palabras, se ha observado que el orden normal no marcado en
este dialecto es VO, como en G.P., siendo S de colocación relativamente libre. Se ha
establecido que este orden no responde a motivaciones gramaticales, sino pragmáticas,
relacionadas con la relevancia informativa de los constituyentes oracionales. La
inversión del orden normal, es decir OV, constituye una opción enfática. (§ 7.4).
",1,SVO,"The language described in the grammar has a dominant word order of VO, with S having relatively free placement. However, there is also the option of OV for emphasis.",SVO,0,0,
Guaraní," 126
7.4.3. En nuestra variedad, el orden de palabras tradicional OV(S) subsiste en otros niveles de
la gramática. Así tenemos un orden paralelo OV en la estructura de la determinación nominal
referencial (39.a, ver § 10.1.4.1), en la determinación pronominal (39.b) y en la construcción
posposicional (39.c). A nivel del léxico, este orden se observa en la formación de palabras
mediante incorporación nominal (39.d-e) y pronominal (39.f-g), la incorporación con ‟o
(39.h-i, ver § 15.1.6), y en casos de composición de tipo nombre+verbo (39.j, ver § 15.4.2):
(39)
a.ñandu-rupi‟a ñandú-huevo„huevo de ñandu‟
b.che-su‟u 1MP-mordida„mi mordida‟ / (hay) mordida
con respecto mi‟
c.mitã-ndi niño-Posp„con los niños‟
d.ha-y-‟u1-agua-tomar „tomar agua‟
e.o-je-h-oga-apo 3-Ref-3MP-casa-hacer „se hace su casa‟
f.a-mba‟e-jogua1-algo-comprar „compro‟ (habitual)
g.o-poro-juka3-algo.humano-matar„asesinó‟
h.ai-pire-‟o 1-piel-quitar„pelar‟
i.o-akã-‟o 3-cabeza-quitar„decapitó‟
j.a-vaka-ñami1-vaca-ordeñar „ordeñar (vacas)‟
 127
8. Clases gramaticales menores: pronombres y otras proformas
8.1. Pronombres personales
8.1.1. Pronombres personales con función de sujeto
8.1.1.1. En las lenguas tupí-guaraníes los pronombres personales libres corresponden a las
marcas personales de la serie 2, o paradigma che-, siendo los pronombres formas tónicas e
independientes, en tanto y las marcas personales son átonas y dependientes. A modo de
ejemplo, transcribo los pronombres libres y los prefijos personales de la dicha serie tal como
ocurren en guaraní paraguayo, mbya, kamaiurá y tapiete:
Cuadro 17. Pronombres libres y marcas personales en 4 lenguas T.G.
",,SVO,,,0,1,
