language,extracted,enough information,target,ChatGPT,ChatGPT target,ChatGPT mistaken,disrepancy,comment
Canela," Um dos critérios usados para distinguir construções topicalizadas de construções
focalizadas é o estatuto da informação. Rizzi (1997) considera que tópico é o elemento
mais à esquerda e expressa uma informação velha. Já o foco introduz uma informação
nova. A partir dos testes para identificação do foco apresentacional e do foco contrastivo,
propostos por Zubizarreta (1998), e das considerações sobre construções de tópico,
apresentadas por Rizzi (1997), foram elaborados testes compostos de perguntas e respostas
que apliquei a meus informantes do Timbira Apãniekrá.
",0,Question particle,"The provided paragraph from the descriptive grammar does not give information about the strategy of forming polar questions in the language being described. Therefore, the correct answer is ""Not enough information"".",Not enough information,0,0,another meaning
Canela," Para os dois tipos de focalização, há manutenção da marcação de caso do NP
nominal. Quando o elemento contrastado for pronominal, este ocorrerá em sua forma
enfática, podendo muitas vezes vir marcado pela posposição que marca o tópico.
(785) ta mãwai-te0 kakWín
 3 TOP11-ERG3-bater
'foi nele que eu bati (e não em outro)'
deslocamento à esquerda
(786) ke [kumtum nã]FocoCont ku-te 0 kat:Jr
 não capivaraPOSP3-ERG3 assar
'não, capivara ele assou'
 (contexto 'ele assou veado?')
(787) [kar3]FocoCont ne[kumtum]Tóp neku-tE 0 nã kat:Jr
 veado e capivaraNEG 3-ERG 3 POSP assar
'veado, e não capivara, ele assou'
 lit.: 'veado e, capivara, ele não a assou'
 (contexto 'ele assou a capivara?')
clivagem
(788) i-tE n a-kakWín
1-ERGCLV 2-bater
'fui eu que bati em você (e não outro)'
O Timbira falado pelos Canela Apãniekrá
Flávia de Castro Alves127
 Capítulo 4
Orações simples
(789) atar n keha i-mãamJ1 k1n nare
 láCLV FUT 1-DATRFL alegre NEG
'naquele lugar é que eu vou ficar triste (e não em outro)'
4.4.1.4 Declarativas topicalizadas
As estratégias utilizadas nas construções topicalizadas são deslocamento à esquerda
(lefl dislocation) e tópico contrastivo (Y-movement).
4.4.1.4.1 Tópico (deslocamento à esquerda)
 As características sintáticas e tipológicas do deslocamento à esquerda são:
um contorno entonacional separado do NP deslocado;
neutralização da marcação de caso do NP tópico;
retomada pronominal do NP tópico na sentença (se OD).
(790) (hfunre hóP ku-te kar3 knran
homem3-erg veado matar
'o homem, ele matou veado'
(791) [kar3hóP hfunre te i?-kuran
veadohomem ERG 3-matar
'o veado, homem o matou'
(792) (kar3 kuranhóPpedro tekojkwakr3kãm
veado matar Pedro ERG verãoLOC
'matar veado, o Pedro (matou) no verão'
(contexto 'em que época o Pedro matou muito veado?')
 Há ainda uma alternativa paratática, em que se pode expressar a informação
pressuposta na construção de foco. Essa parte é freqüentemente dispensada porque está
altamente acessível. Uma hipótese seria considerar essas construções como uma saída
encontrada pela língua para manter o foco na posição fmal da sentença (muítas línguas
rigidamente SOV preferem colocar o foco na última posição da sentença):
(793) [ku-te kar3 kuran]Tóppedro te
3-ERGveado matar Pedro ERG
'ele matou veado, o Pedro'
(contexto 'quem matou o veado?')
(794) (ku-te i?-knran]Tóp kojkwakr3 kãm
3-ERG3-matar verãoLOC
'ele o matou, no verão'
(contexto 'em que época o Pedro matou muito veado?')
O Tímbíra falado pelos Canela Apãníekrá
Flávia de Castro Alves 128
Capítulo 4
 Orações simples
4.4.1.4.2 Tópico contrastivo
As características sintáticas e tipo lógicas do tópico contrastivo são:
 um contorno entonacional simples;
 manutenção da marcação de caso do NP;
 concordância pronominal obrigatória com o 'objeto' deslocado.
(795) [híhc wa ha ku-krene[tep]Tcwa ku-tS-i
carne 1IRR 3-comerCONJ peixe I 3-PR-guardar
'a carne, eu vou comer e o peixe, eu vou guardar'
4.4.2 Orações negativas
A negação dos predicados em Apãniekrá é feita por níf (partícula de intensificação
da negação) e na, nareou inare(operadores de negação). A negação categórica é ke 'não'.
(796) ke nei-j-3p<ln nare
nãoNEG 1-PR-comer NEG
'não, eu não comi'
A partícula níJ ocorre sempre em 2"" posição (3"" se houver a partícula de modo
irrealis) na sentença no sistema nominativo-absolutivo (ou seja, seguindo o sujeito, quando
este é expresso por nominal ou pronome livre). No sistema ergativo-absolutivo ou nas
sentenças com cópula níJ ocorre em primeira posição na sentença, embora possa ocorrer
também em segunda se o sujeito for ergativo.
",0,Question particle,"Unfortunately, the paragraph you provided does not contain information on the strategy of forming polar questions in the language described in the grammar.",Not enough information,0,0,
Canela,"Outra evidência a favor da distinção de modo (realis vs. irrealis) é o uso do tempo
presente para indicar referência ao tempo futuro imediato:
(430) wa ma m5
1 DlR Ir
'eu vou embora'
(431) ku pa-pjakrut ma fé
lincl lincl-dois DlR Ir
'nós dois vamos viajar'
Se a oposição futuro I não futuro pode ser analisada como uma oposiçao na
categoria de modo (realis vs. irrealis), pode-se dizer então que o Apãniekrá apresenta
também uma cisão binária em seu sistema de tempo, com a oposição passado vívido I não-
passado vívido (passado afastado e recente). Os critérios usados para determinar o status
dessa oposição são as alterações morfofonêmicas no verbo e a distribuição dos pronomes
em posição de 'sujeito'.
O Timbira falado pelos
 Flávia de Castro Alves 67
Capítulo 3
 Classes de palavras
O tempo passado vívido, como o próprio nome já diz, descreve uma situação que se
realizou antes do momento da fala e que ainda é recente na perspectiva do falante. A
oposição distante I vívido 8 representa, assim, um contraste aspectual mais fino na
codificação do passado.
(432)h-spsn
 3-comer (passado vívido)
 'ele comeu (há pouco tempo)'
(433)pe0 aps
 PD 3-comer
 'ele comeu (quando era pequeno)'
(434)r;,pte i-tfar
 cachorroERG l-morder (passado vívido)
 'o cachorro me mordeu (há pouco tempo)'
(435)per;,p i-tfa
 PD cachorro l-morder
 'o cachorro me mordeu (quando eu era pequena)'
Não existe uma fronteira evidente para definir o que é um evento mais recente ou
um menos recente. A explicação dos falantes é de que o passado distante é usado para
expressar situações que ocorreram há mais tempo, e não necessariamente há muito tempo,
embora ele possa também ser usado nessas situações. Nesse sentido, o termo 'distante' não
define bem esse contraste aspectual de proximidade que existe nas construções que
denotam passado perfectivo. Por isso, a oposição 'mais ou menos próximo' parece mais
bem descrita pelos termos 'passado vívido' vs 'passado afastado', lembrando que o que vai
definir o uso de um passado ou outro é a perspectiva do falante. No entanto, usarei a
denominação 'passado simples' para referir-me as construções que expressam passado
vívido e 'passado distante' para o passado afastado.
",0,Question particle,Not enough information is provided in this paragraph to determine the strategy of forming polar questions for the language being described.,Not enough information,0,0,
Canela,"O Apãniekrá distingue três subclasses de pronomes pessoais: enfáticos, livres e
prefixos.
3.5 .1.1 Pronomes pessoais enfáticos
Esses pronomes pessoais só são usados para humanos, nas construções com valor
enfático. Ocorrem mais freqüentemente no início da sentença, funcionando como tópico ou
foco contrastivo. Podem também ser coordenados e aparecer sozinhos em respostas.
",0,Question particle,The provided paragraph does not provide enough information about the strategy of forming polar questions (yes-no questions) in the language described in the grammar.,Not enough information,0,0,
Canela,"Nessa noite recebi muitas visitas, famílias inteiras que queriam me ver e conhecer a
minha filha. Perguntavam da viagem, do marido, do filho que ficou na cidade, de São Paulo
e o porquê de eu ter levado tanto tempo para voltar. Pergunta difícil de responder, porque
me dei conta de que eles estiveram me esperando.
",0,Question particle,"Based on the given paragraph from the descriptive grammar, it is not enough information to determine which strategy of forming polar questions the language described in the grammar has. The paragraph only provides information about the questions asked during a conversation and does not mention any specific features of polar question formation.",Not enough information,0,0,another meaning
Nevome,"In r e s p o s e t o a q u e s t i o n 'did i t r a i n i n Onabas?', one
 could answer
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
",0,Question particle,"Based on the given paragraph, it is not possible to determine the strategy of forming polar questions of the language described in the grammar. The answer is ""Not enough information"".",Not enough information,0,0,polar questions
Nevome," I f ik id o appears as a c l a u s e -
 i n i t i a l element, i t may f a i l t o a t t r a c t t h e AUX.
i k i d o humaia pima s -ap u a p - t ' - i g u i gusu (A86)
when u n t i l NEG S-good 2s-P-Flive
 'how long w i l l you l i v e b a d l y ? 1
i k i d o mu-mamai o d i v i a ? (A86)
when y o u r - f a t h e r F a r r i v e
 'when w i l l your f a t h e r a r r i v e ? '
Questions formed with d o - 'who' do not r e q u i r e an AUX a t a l l .
do-vurhumu apimu? (A 14)
 w ho -be(pl) 2pl
'who a r e you?'
do-vurhumu a t i ? (A 14)
 who-be(pl) 1pl
'who a r e we?'
Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.
",0,Question particle,"Based on the given paragraph, the language described in the grammar does not provide enough information about its strategy for forming polar questions. The paragraph only provides examples of questions formed using the interrogative pronoun ""who"" without the need for an auxiliary verb. There is no mention of a question particle, interrogative verb morphology, or interrogative intonation only for polar questions.",Not enough information,0,0,content questions
Nevome,"68
 Two s e r i e s of i n d e f i n i t e s , one unmarked and t h e o t h e r marked ( n eg at iv e,
question,d u b i t a t i v e ) were p r e s e n t i n Nevome.
",0,Question particle,"Based on the given paragraph, it is not clear what strategy of forming polar questions (yes-no questions) the language described in the grammar has. The paragraph only mentions that one series of indefinite words is marked as negative, question, or dubitative. Therefore, the answer is ""Not enough information"".",Not enough information,0,0,
Nevome," Questions,: 1,2 verb-cl.
 a d v . - c l . + verb
 Comparison: 3 verb + nouni + mat + noun2
 S ta t em en t s : 3adv. + verb + s u b j .
 subj. +verb + adv.
 subj. +o b j . + verb
S ta t em en t s : 1 & 2, Tr.",0,Question particle,"Based on the given paragraph, there is ""not enough information"" to determine the strategy of forming polar questions for the language described in the grammar.",Not enough information,0,0,содержание
Nevome,"Chapter Two: O p e r a ti o n s on Clause C o n s t i t u e n t s ...................... 95
 2.1 P r o p o s i t i o n M o d i f i c a t i o n ........................................................................95
 2.1.1 I m p e r a t i v e s .................................................................................................... 95
 2.1.2 Question F or ma ti on ....................................................................................97
 2.1.3 F r o n t i n g , Emphasis and D e l e t i o n ........................................................98
 2.2Scope Phenomena..............................................",0,Question particle,"Based on the given paragraph, there is ""not enough information"" to determine the strategy of forming polar questions (yes-no questions) in the described language.",Not enough information,0,0,содержание
Evenki,"3.55 Participle forms
Present -r, -ra 〜 -da
Future-jigaa
PastV-saa 〜 C-caa
Generally, participle forms have three syntactically different functions:(1)an attribute of
a noun (see 4.14 below);(2) a verbal-noun, which may take a case-ending (see 4.27);and (3) a
predicate, which is frequently used in both future and past tense. Each ending may take a
personal marker which is partially the same with nominal possessive marker,but with no 3rd
person marking:1S -w (〜-uu combined with preceding aa),1P.EXCL -mun,1P.INCL -ti,2S -si,
2P -sun.
",0,Question particle,"The given paragraph does not provide any information about the strategy of forming polar questions in the language. Hence, the answer is ""Not enough information"".",Not enough information,0,0,
Evenki," The independent noun ulur (or olor?) ʻpeople, fellowsʼis sometimes employed to express
plurality of human nouns:sawi ulur ʻ studentsʼ.
3.2 Pronoun
 3.21 Personal pronouns
 SG PL
 1st bii ［min-, ACC minewe］ buu［mun-, ACC munewe］(EXCL)
miti (INCL)
 2nd sii ［sin-, ACC sinewe］ suu［sun-, ACC sunewe］
 The personal pronouns, except for the 1P inclusive form,are inflected on the basis of the
alternative stems given in square brackets. The case-endings are basically the same as nouns,
but actual occurrence of several cases is much restricted. The accusative forms are somewhat
irregular as shown above. For the third person, demonstrative pronouns eri/tari ʻ this/thatʼ
and their plural forms ersel/tarsal〜taccil ʻthese/thoseʼ,elur /talur (＜eri/tari ulur)ʻthese/those
peopleʼetc.are usually employed. Only rarely is used the original third person pronoun nugan
(PL nugan-sal), which may express politeness to the referent.
",,Question particle,"Based on the given paragraph, it is not enough information to determine which strategy of forming polar questions this language has. The paragraph mainly discusses the noun and pronoun system of the language and does not provide any information about question formation.",Not enough information,0,0,
Evenki,"There is a negative adverb unege ʻ not yetʼ
, which is followed by the negated verb in the
participle form -ra.
(20)unege eme-re. (HC 90)
［not.yet come-PRES］
 ʻ
 (He)has not come yet.ʼ
4.24 Interrogative sentences
The interrogative clitic -gii is added to the end of yes-no questions, with which a rising
intonation is usually accompanied. In answer, the interjection word en/oo/oon etc. may be
headed for affirmative answer, and onto/aasin for negative:
(21)eri uxur aya-gii?
［this ox good-Q］
 ʻ
 Is this ox good?ʼ
(22)eri bitig sin-ii-gii?
［this book you-GEN-Q］
 ʻ
 Is this book yours?ʼ
(23a)oon, min-ii.
［yes me-GEN］
 ʻ
 Yes, (it is)mine.ʼ
(23b)onto, eri sin-ii.
 ［no this you-GEN］
ʻNo, (it is not mine but)yours.ʼ
For confirmation of a statement, a sentence-final particle baa (＜Chi. ba) is occasionally
employed:
Toshiro Tsumagari A Sketch of Solon Grammar15
(24)tari uli-see baa? (HC 107)
 ［he go-PAST PT］
ʻHe went, didnʼ t he?ʼ
For wh-questions,no interrogative marking is needed except for some emphatic particles:
(25)eri si oxon yeeme? (CTK 72)
 ［this TOP what PT］
ʻWhat is this?ʼ
(26)sin-ii gebbi-si aawu? (CTK 13)
 ［you-GEN name-2S who］
ʻWhat is your name?ʼ
(27)sii iilee tegeji-ndi? (CTK 12)
 ［you where live-PRES.2S］
ʻWhere do you live?ʼ
(28)beejin jakka ooxi goro bi-si-n? (CTK 10)
 ［Beijing up.to how far be-PRES-3］
ʻHow far is it to Beijing?ʼ
4.25 Comparative sentences
Adjectives and adverbs have no grammatical degree of comparison. The compared object
takes the ablative case:
(29)eri uxur morin-duxi sampal. (HC 40)
 ［this ox horse-ABL agile］
ʻThis ox is agile than a horse.ʼ
(30)eri inig tiinug negeen tannagan exuddi onto. (CTK 45)
 ［this day yesterday alike such hot not］
ʻToday is not so hot as yesterday.ʼ
Superlative meaning is expressed by adding the adverb miin/miinti ʻ mostʼ
:
(31)iggu-nin miin aya? (CTK 37)
 ［which-3 most good］
ʻWhich is the best?ʼ
The following idiomatic expression makes use of a “nominalized”adjective:
(32)talar aya-nii aya-waa-ni ga-mi gurun-du-wi buu-see. (C 211)
 ［they good-GEN good-ACC-3 take-COOR country-DAT-REF give-PAST］
ʻThey chose the best of the bests and offered it to their country.ʼ
4.26 Passive/Causative sentences
Passive and causative sentences are expressed morphologically by adding a suffix to a verb-
16北方人文研究 第２号 2009年３月
stem respectively(for several verbal derivational suffixes,see 3.51 above). As a rule,the agent
in passive sentence takes the dative case,while in causative the agent (causee)is marked bythe
accusative or instrumental case. The sentence (39) is an example of a passive-causative
combination:
 (33)bii e-du munda-wu-suu. (HC 62)
［I this-DAT hit-PASS-PAST.1S］
 ʻI was hit by him.ʼ
 (34)xonin tuulge-du jawa-wu-saa. (HC 26)
［sheep wolf-DAT capture-PASS-PAST］
 ʻA sheep was captured by a wolf.ʼ
 (35)aba min-ewe teggen-e xool-xeen-see. (HC 61)
［father me-ACC cart-INAC put-CAUS-PAST］
 ʻFather made me put the cart (to a horse).ʼ
 (36)bii unaaji-wi esuude-xeen-emi. (HC 62)
［I sister-REF clean-CAUS-PRES.1S］
 ʻI make my sister clean (the room).ʼ
 (37)sii tari-ji bitig-wi eeri-xeen-ke. (C 80)
［you him-INS book-REF read-CAUS-IMP.2S］
 ʻM ake him read your book!ʼ
 (38)sun-ii mojaan-ji oo-xoon-coo addar-sun mandii nandaxan. (C 80)
［you-GEN craftsman-INS make-CAUS-PAST box-2P very beautiful］
 ʻThe box you had the craftsman make is very beautiful.ʼ
 (39)tari min-ewe munda-wu-xaan-caa. (C 81)
［he me-ACC hit-PASS-CAUS-PAST］
 ʻHe let me be hit.ʼ(＝He made someone hit me.)
4.27 Complex sentences
 Sentences with various converbs;note that the converbs with personal marking (42, 43)
have a different subject from that of main verbs:
 (40)bii moolaa-taani beyusi-geti. (HC 82)
［I make.firewood-PERF go.hunting-IMP.1S］
 ʻHaving finished making firewood, I will go hunting.ʼ
 (41)tari arxi imi-gii imi-gii sotto-soo. (HC 83)
［he liquor drink-DUR drink-DUR get.drunk-PAST］
 ʻHe drank and drank and got drunk.ʼ
 (42)sii uli-kki-si, bii uli-mi. (HC 79)
［you go-COND-2S I go-PRES.1S］
 ʻIf you go, I will go.ʼ
 (43)bii uxxe-du ii-jixee-weye, batu min-ewe tan-saa. (HC 80)
［I door-DAT enter-SUC-1S Batu me-ACC notice-PAST］
 Toshiro Tsumagari A Sketch of Solon Grammar17
 ʻ
 As soon as I entered the door, Batu noticed me.ʼ
 Participle forms can make a noun clause and function as a sentence element with some
case ending. The dative forms are used adverbially to express time, reason etc.:
 (44)sin-ii jinji-saa-wa-si saa-suu. (C 194)
 ［you-GEN talk-PAST-ACC-2S know-PAST.1S］
 ʻ
 I understood what you said.ʼ
 (45)morin ugu-r-du-wi aya-ji xise-xe. (C 195)
 ［horse ride-PRES-DAT-REF good-INS be.careful-IM P.2S］
 ʻ
 When you ride a horse, be careful enough!ʼ
 (46)sin-ii eme-see-du-si buu addaji-mun. (CTK 21)
 ［you-GEN come-PAST-DAT-2S we be.glad-PRES.1P.EXCL］
 ʻ
 We are glad that you came.ʼ
 Concessive meaning is expressed by a clitic -xat ʻ yetʼor a particle jaarin ʻthoughʼ:
 (47)iittu jinji-saa-xat asir aasin. (CTK 63)
 ［how talk-PAST-yet merit no］
 ʻ
 Whatever (one)says, it is no use.ʼ
 (48)ooxi jogo-soo jaarin, bu-see beye daxii e-jigee iinigge-r xun. (CTK 69)
 ［how grieve-PAST though die-PAST man again not-FUT revive-PRES PT］
 ʻ
 No matter how (you)grieve, a dead person will never revive again.ʼ
 Quotational sentences make use of gu ken ʻsayingʼor some other forms of the verb gun-
ʻto sayʼ :
 (49)kinoo isi-mi gu ken joonji-mi. (CTK 53)
 ［movie see-PRES.1S saying think-PRES.1S］
 ʻ
 I think that I will watch a movie.ʼ
 (50)tari sin-ewe da a-ya e-ji imi-ra gunji-ren. (HC 144)
 ［he you-ACC tobacco-INAC not-IMP.2S drink-PRES say-PRES］
 ʻ
 He says that you should not smoke.ʼ
Note that the sense subject of indirect speech is in accusative case in (50)above.
5. Lexical influences from surrounding languages
5.1 Loanwords
There are many Chinese loanwords: s ko ʻ windowʼ , xooco ʻ trainʼ
,dnsi ʻtelevisionʼ
 , g bii
ʻpenʼ, liibʻweekʼetc. Not only nominals, but also other parts of speech are borrowed:an
adverb maa an ʻpromptlyʼ,an interjection wei ʻhi,helloʼ,or even grammatical particles like si
(a subject/topic marker; see 4.21 above) and baa (an sentence-final marker; (24)). Chinese
18北方人文研究 第２号 2009年３月
words mayfunction as verbs with a verb-formative suffix:ga bii-da-ʻto use a pen,to write with
a penʼ .
",1,Question particle,"The language described in the grammar has the strategy of forming polar questions using the question particle -gii added to the end of the sentence, accompanied by rising intonation. Therefore, the answer is ""Question particle"".",Question particle,0,0,
Evenki," ［I stock.farmer be-PAST.1S］
ʻI was a stock farmer.ʼ
(3)eri juu arakkun.
 ［this house clean］
ʻThis house is clean.ʼ
(4)eri juu arakkun bi-see.
 ［this house clean be-PAST］
ʻThis house was clean.ʼ
(5)eri inig mandii exuddi.
 ［this day very hot］
ʻIt is very hot today.ʼ
Sometimes with the subject/topic marker si (＜Chi. shi)and/or the emphatic declarative
particle sinje:
(6)tiinug dolob uttuli-see morin si eri sinje. (C 225)
 ［yesterday night run.away-PAST horse TOP this PT］
ʻThe horse which ran away last night is this.ʼ
4.22 Existential/Possessive sentences
Possession is represented either as an existential sentence with bi- ʻ to be, existʼor by a
possessive adjective suffix -si ʻ
having, withʼ . The form in -si can also modify another noun:
Toshiro Tsumagari A Sketch of Solon Grammar13
(7)sire-nii oroon-du-ni bitig bi-si-n.
 ［desk-GEN surface-DAT-3 book be-PRES-3］
ʻ
There is a book on the desk.ʼ
(8)min-du juur exin bi-si-n.
 ［me-DAT two elder.sister be-PRES-3］
ʻ
I have two elder sisters.ʼ
(9)tari ilan ute-si.
 ［he three son-POS］
ʻ
He has three sons.ʼ
(10)morin-si beye
［horse-POS man］
 a man who has/is riding on a horseʼ
 ʻ
4.23 Negative sentences
Negation is primarily expressed by the negative verb e-ʻ do notʼwith the participle form -ra of
negated verb:
(11)bii emun naan e-si-m saa-ra. (CTK 12)
［I one yet not-PRES-1S know-PRES］
 ʻ
 I donʼ t understand anything.ʼ
(12)tari beye e-see nini-re.
［that man not-PAST go-PRES］
 ʻ
 He didnʼt go.ʼ
For the negation of nominal/adjectival sentences,an adjective onto ʻdifferent,notʼor aasin
ʻnoʼis employed:
(13)eri min-ii morin onto.
［this me-GEN horse not］
 ʻ
 This is not my horse.ʼ
(14)sin-ii jinji-saa-si negeen amakkun onto. (C 190)
［you-GEN talk-PAST-2S alike easy not］
 ʻ
 It is not so easy as you said.ʼ
(15)gaga-nii juu-nin e-duxi goro aasin. (C 223)
［elder.brother-GEN house-3 this-ABL far no］
 ʻ
 M y brotherʼs house is not far from here.ʼ
The latter aasin is also used to express nonexistence, with which the preceding noun
(nonexistent) occasionally takes the indefinite accusative case or also in -la, which may
tentatively be called abessive, found in the same construction of some other Tungusic:
(16)beye aasin juug-du ii-mi e-si-n oo-do. (C 222)
［man no house-DAT enter-COOR not-PRES-3 become-PRES］
14北方人文研究 第２号 2009年３月
 ʻ
 It is not allowed to enter a house where no one stays.ʼ
(17)eri uxur-nin iige-ye aasin. (HC 118)
［this ox-3 horn-INAC no］
 ʻ
 This ox has no horns.ʼ
(18)baita-ja/-la aasin.
［matter-INAC/-ABES no］
 ʻ
 No problems.ʼ
Prohibition is expressed by the (irregular)imperative form of the negative verb:
(19)e-ji s o-ro.
［not-IM P.2S cry-PRES］
 ʻ
 Donʼ t cry.ʼ
Another expression which practically means prohibition makes use of the negation of the
verb oo-ʻ to become, fitʼ , just found in (16)above.
",0,Question particle,Not enough information is provided to determine the strategy of forming polar questions in the language described in the grammar.,Not enough information,0,0,
Evenki,"The verb bi-ʻto beʼhas wide range of auxiliary use. For instance, a past form followed
 by bi-see［be-PAST］refers “remote past” :uli-cee bi-see.［go-PAST be-PAST］ʻ (He)has already
 gone.ʼ With a future form, subjunctive meaning is expressed:ga-jiguu bi-see.［take-FUT.1S
 be-PAST］ʻ I might have taken.ʼ With a coordinative converb,durative or imperfect aspect is
 implied:aasi-mi bi-see.［sleep-COOR be-PAST］ʻ (He)was (still)sleeping.ʼ
The verb oo-ʻto becomeʼpreceded by a coordinative converb means possibility,permission
 or obligation according to the context:ebbesi-mi oo-dan.［swim-COOR become-PRES］ʻ(It is)
 possible/permitted/expected to swim.ʼ The verb nee-ʻ to lay,keepʼ ,used as an auxiliary after
 a subordinative converb,adds a perfective or resultative meaning:xorii-cci nee-see.［arrest-SUB
 lay-PAST］ʻ (They)have arrested (him).ʼ,ommo-cci nee-suu.［forget-SUB lay-PAST.1S］ʻI have
 forgotten.ʼ A benefactive meaning is expressed by the verb buu-ʻ to giveʼwith a coordinative
 converb: irda-mi buu-xe.［comb-COOR give-IMP.2S］(also as a contracted form irda-mbuux;
 Poppe 1931:123)ʻComb my hair for me!ʼ The verb isi-ʻ to seeʼhas an auxiliary meaning ʻ to tryʼ
 Toshiro Tsumagari A Sketch of Solon Grammar11
 after a coordinative converb:ji-mi isi-xe.［eat-COOR see-IMP.2S］ʻTry to eat!ʼ
.
 4. Syntax
 4.1 NP structure
 The head noun of noun phrases is always preceded by any kind of modifier.
",0,Question particle,Not enough information is provided in the given paragraph to determine which strategy of forming polar questions the language described in the grammar has.,Not enough information,0,0,
Skou,"Skou 125
 (7) Bámè=fue?
 who 2SG=see
 ‘Who did you see?’
 (8)* bá=kamè=fue?
 who= FOC 2SG=see
 Despite this such a morphological marker may appear on the informational response to such
a question, as in (9), a felicitous response to (7). (10) and (11) present other uses of pragmatic
markers.
",0,Question particle,"Based on the given paragraph, the language described in the grammar seems to have ""Interrogative verb morphology"" as its strategy of forming polar questions, as can be seen in the difference between example (7) and its ungrammatical counterpart (8). The use of ""=fue"" at the end of the sentence shows that it is a question and the identity of the question word is based on the verb morphology.",Interrogative verb morphology,1,0,content questions
Skou," 1SG speech1SG=ask 3SG. F =3SG. F .go-REDQ 3SG. F .do
 ‘I asked (heri) where shei,*j was going.’
The same morphosyntactic pattern is found with the semantically more generic verb lóeng
when it is used with the sense ‘answer’ (though not when it simply means ‘say’ or ‘tell, order’,
providing some evidence that these may perhaps be better thought of as representing lexcially
separate albeit phonologically undifferentiable verbs). The question described in (68) could be
replied to with lóeng ‘answer’ as seen in (68)', which has only one possible reading, but (69)
shows that a use of lóeng to mean ‘say, tell’ out of a question:answer context is ambiguous.
",0,Question particle,"Based on the given paragraph, it is not enough to determine the strategy of forming polar questions in the language described in the grammar.",Not enough information,0,0,content questions
Skou,"Skou 131
 While a non-core argument may be pragmatically salient, it is preferable to code a salient
argument as a core. For instance, a question (or answer) about the identity of an instrument can
be coded with the instrument marked as an oblique:
 (45) Ya=pa ke=Húng-tè=ingke=kí?
what=INSTR 3SG. NF=Sentani-3PL. GEN=DEIC 3SG. NF=stab
‘What did he stab the Sentani man with?’
It is more natural, however, to mark the focussed nominal as a direct argument of a verb, even
if this entails complicating the clause with a serial verb construction.
",0,Question particle,"Based on the given paragraph, the grammar does not provide information on the strategy of forming polar questions in the language. Therefore, the correct answer is ""Not enough information"".",Not enough information,0,0,content questions
Skou," Questioned A
(35) Ung a bá hòepe=tueetue?
 now who sago 3SG. F =3SG. F .do 3SG. F .be 3SG. F .do
 ‘Who’s cooking sago now?’
 Questioned S
(36) Ung a bá pe=te etuefue a?
 now who 3SG. F =3SG. F .go 3SG. F .be 3SG. F .do there
 ‘Who’s going there now?’
 Questioned P
(37) Ung a mè ya mè=pi.mepi?
 now 2SG what 2SG=2SG.do 2SG.be2SG.do
 ‘What are you cooking?’
Not questioned, but morphologically focussed material, also appears in the same position.
The usual markers of focus are =ka or =a; they do not show any difference in syntactic
restrictions.
",0,Question particle,"Based on the provided paragraph, there is not enough information to determine which strategy of forming polar questions the language described in the grammar has.",Not enough information,0,0,content questions
Skou,"The following sentences show question words for the three core syntactic functions
appearing in their normal places in the clause. Notice that there is neither any ‘fronting’ of the
question word, evidenced by the constant sentence-initial position of the time expression ung a
‘now’, nor is there any obligatory preverbal positioning, demonstrated by the order of elements
in (35) in which the questioned A is separated from the V by the object hòe, and is separated
from the start of the clause by the time expression ung a (this is further discussed and
exemplified in 18.2).
",0,Question particle,"Based on the given paragraph, there is ""not enough information"" to determine the strategy of forming polar questions for the language described in the grammar. The paragraph is discussing the position of question words in the clause and the absence of fronting or obligatory preverbal positioning, but it does not provide information on the specific strategies for forming polar questions.",Not enough information,0,0,content questions
Lisu,"He sang.'
 !/likhyanryTwahi manga, magwa./
(forest=land=at=related-focus not=is, not=sing.)
'If (we) aren't in the forest, (I) won't sing.'
[after a discussion of possible locations]
/nwu thlkhfthi thlhwa wS dSa. /
 (you one=year=related-focus one=time get-to strike=nom.)
:You only have a chance to take (pictures of opium
 harvesting) once a year.' [after a discussion
 of other picture taking]
 /nwu SmasAhl aayxa gyiango./
 (you now=related-focus field^to go=nonfc=question<>)
'Are you going to the fields now?'
 /ngwa alahl magyi./
 (I wherever-to=related-focus not=go.)
 '(No.) I'm not going anywhere.'
j3 * ^ * JfLxed general oarticlesi
i
J A mixed general particle occurs both internally
and finally with substantive phrases, but only in main verb phrases.
",1,Interrogative verb morphology,,,0,1,
Lisu,"7^On the overlapping o f t h is type of question w ith statem ents and
im p eratives, see s e c tio n 5*2*4. The forms of th e p a r t ic le / - h i /
are d iscu ssed in s e c tio n 5»*t-»l»3*
8.",0,Interrogative verb morphology,"Based on the given paragraph, there is not enough information to determine the strategy of forming polar questions used in the language described in the grammar. The paragraph only refers to the discussion of the forms of the particle ""I-hi"" in a specific section of the grammar.",Not enough information,0,0,type of questions not clear
